atributo,classe
"-39.620.789.407.905.700,00","0,00"
"622.385.593.463.623.000,00","1.000.000.000.000.000.000,00"
"485.544.053.795.117.000,00","1.000.000.000.000.000.000,00"
"-25.702.166.747.143.800,00","0,00"
"-136.584.464.235.354.000,00","0,00"
"101.698.205.637.595.000,00","0,00"
"19.074.199.423.614.800,00","0,00"
"46.717.383.736.556.200,00","0,00"
"-47.150.844.510.530.500,00","0,00"
"360.591.188.189.936.000,00","1.000.000.000.000.000.000,00"
"433.318.051.610.659.000,00","1.000.000.000.000.000.000,00"
"309.498.089.405.586.000,00","1.000.000.000.000.000.000,00"
"-104.944.654.326.118.000,00","0,00"
"-70.395.458.364.954.600,00","0,00"
"-9.722.721.242.490.730,00","0,00"
"660.981.384.279.764.000,00","1.000.000.000.000.000.000,00"
"-123.214.842.041.655.000,00","0,00"
"165.329.141.459.402.000,00","0,00"
"383.425.084.770.350.000,00","1.000.000.000.000.000.000,00"
"631.762.572.765.831.000,00","1.000.000.000.000.000.000,00"
"-87.385.471.604.124.300,00","0,00"
"-27.735.904.775.230.600,00","0,00"
"-204.260.159.081.016.000,00","0,00"
"560.403.309.947.618.000,00","1.000.000.000.000.000.000,00"
"-21.282.400.844.629.700,00","0,00"
"82.422.826.926.835.900,00","0,00"
"53.223.295.530.118.500,00","0,00"
"649.784.836.473.916.000,00","1.000.000.000.000.000.000,00"
"618.937.969.221.433.000,00","1.000.000.000.000.000.000,00"
"683.602.723.007.228.000,00","1.000.000.000.000.000.000,00"
"125.329.420.485.228.000,00","0,00"
"83.195.624.197.579.000,00","0,00"
"-34.424.971.187.390.600,00","0,00"
"-160.920.748.659.009.000,00","0,00"
"4.913.653.115.436.880,00","0,00"
"65.830.873.522.356.400,00","0,00"
"-39.339.400.114.614.700,00","0,00"
"347.727.194.254.312.000,00","1.000.000.000.000.000.000,00"
"-143.818.881.812.860.000,00","0,00"
"77.996.257.793.227.900,00","0,00"
"34.767.461.802.771.100,00","0,00"
"2.948.190.015.645.030,00","0,00"
"112.874.447.235.755.000,00","0,00"
"-10.057.043.709.037.500,00","0,00"
"-1.177.913.425.724.090,00","0,00"
"-32.250.568.335.718.900,00","0,00"
"-104.538.396.039.665.000,00","0,00"
"-53.266.364.322.355.600,00","0,00"
"89.631.755.088.722.300,00","0,00"
"77.210.181.882.520.200,00","0,00"
"7.187.362.396.207.530,00","0,00"
"107.135.820.104.079.000,00","0,00"
"11.067.477.184.582.400,00","0,00"
"91.541.596.049.716.200,00","0,00"
"46.896.347.732.257.200,00","0,00"
"-91.053.990.273.225.500,00","0,00"
"29.996.151.194.490.100,00","0,00"
"298.931.379.038.896.000,00","1.000.000.000.000.000.000,00"
"-83.542.754.340.885.700,00","0,00"
"29.012.047.237.528.900,00","1.000.000.000.000.000.000,00"
"237.323.157.820.247.000,00","1.000.000.000.000.000.000,00"
"-47.892.438.139.633.200,00","0,00"
"-37.812.695.413.930.700,00","0,00"
"5.935.211.444.259.780,00","0,00"
"-64.472.107.319.444.100,00","0,00"
"409.112.897.748.780.000,00","1.000.000.000.000.000.000,00"
"197.125.993.412.695.000,00","0,00"
"1.484.142.231.688.400,00","0,00"
"-12.125.823.975.051.100,00","0,00"
"93.315.845.221.792.300,00","0,00"
"495.681.982.057.259.000,00","1.000.000.000.000.000.000,00"
"109.182.176.330.737.000,00","0,00"
"490.675.819.074.677.000,00","1.000.000.000.000.000.000,00"
"-38.618.250.030.873.200,00","0,00"
"90.763.594.588.409.600,00","0,00"
"69.006.062.126.091.800,00","0,00"
"-24.755.110.301.176.900,00","0,00"
"-8.916.577.094.699.540,00","0,00"
"612.378.943.401.556.000,00","1.000.000.000.000.000.000,00"
"301.509.682.707.550.000,00","1.000.000.000.000.000.000,00"
"486.957.868.169.660.000,00","1.000.000.000.000.000.000,00"
"13.671.161.136.772.700,00","0,00"
"-21.302.416.354.693.800,00","0,00"
"410.950.566.044.018.000,00","1.000.000.000.000.000.000,00"
"-101.499.913.611.447.000,00","0,00"
"-85.202.678.985.338.400,00","0,00"
"104.800.996.896.048.000,00","0,00"
"55.888.430.680.077.200,00","0,00"
"-12.196.510.046.029.000,00","0,00"
"-13.450.504.292.517.400,00","0,00"
"113.453.178.154.796.000,00","0,00"
"-25.521.898.038.751.100,00","0,00"
"647.115.261.654.830.000,00","1.000.000.000.000.000.000,00"
"77.434.710.347.897.600,00","0,00"
"-4.940.206.277.615.770,00","0,00"
"393.847.307.372.932.000,00","1.000.000.000.000.000.000,00"
"43.208.798.346.854.100,00","0,00"
"564.364.724.600.853.000,00","1.000.000.000.000.000.000,00"
"-3.078.724.407.112.340,00","0,00"
"63.865.097.244.823.400,00","0,00"
"13.064.752.442.130.500,00","0,00"
"196.147.430.685.352.000,00","1.000.000.000.000.000.000,00"
"552.298.520.785.165.000,00","1.000.000.000.000.000.000,00"
"-17.747.477.865.559.100,00","0,00"
"59.164.024.662.293.300,00","0,00"
"-152.414.959.605.057.000,00","0,00"
"-11.113.841.191.428.700,00","0,00"
"10.168.253.536.479.500,00","0,00"
"40.952.793.401.307.300,00","0,00"
"-115.358.247.735.032.000,00","0,00"
"362.362.493.477.770.000,00","1.000.000.000.000.000.000,00"
"463.557.045.281.411.000,00","1.000.000.000.000.000.000,00"
"403.672.537.775.216.000,00","1.000.000.000.000.000.000,00"
"601.883.949.850.387.000,00","1.000.000.000.000.000.000,00"
"6.528.012.298.085.590,00","0,00"
"367.646.148.751.578.000,00","1.000.000.000.000.000.000,00"
"682.400.034.747.888.000,00","1.000.000.000.000.000.000,00"
"343.253.720.573.534.000,00","1.000.000.000.000.000.000,00"
"-132.954.405.719.502.000,00","0,00"
"-7.548.658.847.620.220,00","0,00"
"218.212.656.738.742.000,00","0,00"
"127.013.790.548.112.000,00","0,00"
"158.328.220.627.042.000,00","0,00"
"184.663.202.990.151.000,00","0,00"
"436.750.136.564.389.000,00","1.000.000.000.000.000.000,00"
"-81.433.743.364.355.700,00","0,00"
"28.154.405.239.385.600,00","0,00"
"576.516.208.762.722.000,00","1.000.000.000.000.000.000,00"
"-150.340.150.925.948.000,00","0,00"
"69.523.551.672.938.400,00","0,00"
"611.223.736.558.533.000,00","1.000.000.000.000.000.000,00"
"45.007.032.670.032.300,00","0,00"
"214.127.515.746.954.000,00","0,00"
"-191.856.354.460.239.000,00","0,00"
"-129.475.955.734.032.000,00","0,00"
"210.154.293.715.539.000,00","1.000.000.000.000.000.000,00"
"306.182.555.782.231.000,00","1.000.000.000.000.000.000,00"
"155.001.445.524.147.000,00","0,00"
"-12.710.319.559.890.700,00","0,00"
"472.294.802.316.454.000,00","1.000.000.000.000.000.000,00"
"54.902.132.912.361.000,00","0,00"
"-148.255.768.101.396.000,00","0,00"
"-237.026.916.258.179.000,00","0,00"
"120.260.529.483.371.000,00","1.000.000.000.000.000.000,00"
"-17.638.624.427.858.300,00","0,00"
"426.638.701.716.807.000,00","1.000.000.000.000.000.000,00"
"198.042.976.950.149.000,00","0,00"
"-56.250.454.392.063.300,00","0,00"
"-112.559.543.288.275.000,00","0,00"
"135.361.599.258.621.000,00","0,00"
"61.196.005.385.865.300,00","0,00"
"221.296.837.949.067.000,00","1.000.000.000.000.000.000,00"
"37.114.166.260.178.600,00","0,00"
"-29.561.556.863.183.600,00","0,00"
"295.389.610.609.976.000,00","1.000.000.000.000.000.000,00"
"-21.767.979.280.138.900,00","0,00"
"773.469.492.170.171.000,00","1.000.000.000.000.000.000,00"
"222.007.899.123.832.000,00","1.000.000.000.000.000.000,00"
"828.079.396.541.923.000,00","1.000.000.000.000.000.000,00"
"16.863.556.685.951.100,00","0,00"
"-85.844.607.599.666.200,00","0,00"
"749.961.009.110.351.000,00","1.000.000.000.000.000.000,00"
"206.421.761.153.175.000,00","0,00"
"27.799.508.577.479.300,00","0,00"
"102.719.797.275.284.000,00","0,00"
"119.747.832.570.806.000,00","1.000.000.000.000.000.000,00"
"48.204.532.996.453.600,00","0,00"
"32.205.474.038.772.900,00","0,00"
"381.301.743.194.372.000,00","1.000.000.000.000.000.000,00"
"379.954.497.454.157.000,00","1.000.000.000.000.000.000,00"
"-58.127.105.375.157.500,00","0,00"
"-39.082.430.744.253.200,00","0,00"
"30.162.976.587.280.600,00","0,00"
"-145.519.913.777.381.000,00","0,00"
"213.832.947.685.781.000,00","1.000.000.000.000.000.000,00"
"146.435.867.297.522.000,00","0,00"
"-80.068.410.863.746.300,00","0,00"
"309.465.972.475.554.000,00","1.000.000.000.000.000.000,00"
"156.770.310.486.404.000,00","1.000.000.000.000.000.000,00"
"73.202.211.130.693.300,00","0,00"
"143.500.084.655.332.000,00","0,00"
"246.541.625.693.602.000,00","1.000.000.000.000.000.000,00"
"93.312.951.559.746.800,00","0,00"
"-51.390.896.182.176.000,00","0,00"
"-31.342.034.318.541.600,00","0,00"
"97.253.531.949.936.800,00","0,00"
"27.936.231.007.506.400,00","0,00"
"-146.873.861.771.126.000,00","0,00"
"-67.790.917.821.899.100,00","0,00"
"-201.777.650.230.565.000,00","0,00"
"496.997.700.972.213.000,00","1.000.000.000.000.000.000,00"
"-50.411.159.252.528.500,00","0,00"
"82.649.941.225.022.800,00","0,00"
"46.686.874.969.875.800,00","0,00"
"147.026.928.853.009.000,00","0,00"
"39.357.670.632.634.000,00","0,00"
"1.456.135.514.703.040,00","0,00"
"-116.463.261.540.307.000,00","0,00"
"19.194.102.575.929.600,00","0,00"
"301.440.209.329.310.000,00","1.000.000.000.000.000.000,00"
"179.867.014.945.337.000,00","0,00"
"44.698.176.256.616.600,00","1.000.000.000.000.000.000,00"
"212.825.633.552.487.000,00","1.000.000.000.000.000.000,00"
"-63.103.295.273.831.200,00","0,00"
"268.752.495.396.165.000,00","1.000.000.000.000.000.000,00"
"313.535.941.985.882.000,00","1.000.000.000.000.000.000,00"
"381.942.047.521.907.000,00","1.000.000.000.000.000.000,00"
"56.843.333.665.479.600,00","0,00"
"77.984.595.479.754.100,00","0,00"
"-48.792.211.456.132.900,00","0,00"
"259.401.673.271.257.000,00","0,00"
"-81.121.926.769.481.600,00","0,00"
"20.686.842.384.566.500,00","0,00"
"571.920.188.686.241.000,00","1.000.000.000.000.000.000,00"
"-13.402.919.970.606.100,00","0,00"
"445.128.517.267.980.000,00","1.000.000.000.000.000.000,00"
"-4.530.836.822.414.210,00","0,00"
"376.427.730.100.794.000,00","1.000.000.000.000.000.000,00"
"111.129.034.874.258.000,00","0,00"
"-51.900.143.750.176.900,00","0,00"
"626.807.080.829.880.000,00","1.000.000.000.000.000.000,00"
"43.923.614.616.908.600,00","0,00"
"-168.214.497.758.680.000,00","0,00"
"134.310.584.694.444.000,00","0,00"
"222.769.563.761.385.000,00","0,00"
"212.321.810.012.458.000,00","1.000.000.000.000.000.000,00"
"20.574.547.266.602.200,00","0,00"
"424.527.664.380.865.000,00","1.000.000.000.000.000.000,00"
"-115.504.093.021.806.000,00","0,00"
"161.251.744.754.581.000,00","0,00"
"-76.759.902.881.569.600,00","0,00"
"-75.601.926.499.520.000,00","0,00"
"184.893.206.635.340.000,00","0,00"
"-97.013.919.340.289.900,00","0,00"
"-31.019.830.722.368.900,00","0,00"
"441.041.869.418.078.000,00","1.000.000.000.000.000.000,00"
"541.110.305.805.678.000,00","1.000.000.000.000.000.000,00"
"55.998.847.498.693.800,00","0,00"
"161.881.471.423.196.000,00","0,00"
"-116.886.457.557.895.000,00","0,00"
"-162.651.246.996.775.000,00","0,00"
"40.729.700.038.399.100,00","0,00"
"28.837.441.627.995.200,00","0,00"
"392.377.632.987.428.000,00","1.000.000.000.000.000.000,00"
"234.458.177.039.515.000,00","1.000.000.000.000.000.000,00"
"-25.315.363.046.970.900,00","0,00"
"-73.821.908.150.271.300,00","0,00"
"442.095.402.293.848.000,00","1.000.000.000.000.000.000,00"
"464.020.044.945.488.000,00","1.000.000.000.000.000.000,00"
"413.099.437.023.204.000,00","1.000.000.000.000.000.000,00"
"-74.729.624.411.868.800,00","0,00"
"467.795.588.446.426.000,00","1.000.000.000.000.000.000,00"
"-160.841.237.970.066.000,00","0,00"
"172.196.689.834.661.000,00","0,00"
"-80.183.919.255.240.500,00","0,00"
"448.622.507.048.035.000,00","1.000.000.000.000.000.000,00"
"-40.135.500.937.966.900,00","0,00"
"568.409.271.881.053.000,00","1.000.000.000.000.000.000,00"
"459.988.741.554.931.000,00","1.000.000.000.000.000.000,00"
"29.710.665.765.028.100,00","0,00"
"682.152.830.792.619.000,00","1.000.000.000.000.000.000,00"
"61.734.116.177.168.200,00","1.000.000.000.000.000.000,00"
"-169.446.126.090.064.000,00","0,00"
"65.725.322.041.671.500,00","0,00"
"-186.463.188.326.095.000,00","0,00"
"240.423.508.709.849.000,00","0,00"
"-74.977.993.745.496.900,00","0,00"
"85.834.727.629.664.000,00","0,00"
"392.939.495.667.629.000,00","1.000.000.000.000.000.000,00"
"147.877.657.475.501.000,00","0,00"
"-20.597.443.758.572.200,00","0,00"
"85.226.030.355.494.800,00","0,00"
"-151.235.780.744.176.000,00","0,00"
"-52.271.171.644.963.000,00","0,00"
"202.967.251.795.841.000,00","0,00"
"-30.034.187.111.637.200,00","0,00"
"24.120.801.581.525.100,00","0,00"
"352.475.040.941.355.000,00","1.000.000.000.000.000.000,00"
"102.664.445.588.576.000,00","0,00"
"334.342.761.181.753.000,00","1.000.000.000.000.000.000,00"
"-59.368.530.618.941.000,00","0,00"
"-177.374.683.181.390.000,00","0,00"
"166.822.043.618.541.000,00","0,00"
"-6.879.103.732.481.910,00","0,00"
"67.526.376.617.200.400,00","0,00"
"56.496.815.396.505.900,00","0,00"
"-45.718.587.242.696.500,00","0,00"
"-39.556.989.136.782.500,00","0,00"
"122.455.273.967.902.000,00","0,00"
"-154.170.939.364.522.000,00","0,00"
"292.272.219.023.642.000,00","1.000.000.000.000.000.000,00"
"148.700.176.961.620.000,00","0,00"
"25.352.544.360.104.700,00","0,00"
"464.613.707.715.552.000,00","1.000.000.000.000.000.000,00"
"97.271.623.816.991.300,00","0,00"
"755.069.669.256.932.000,00","1.000.000.000.000.000.000,00"
"99.491.863.933.521.600,00","0,00"
"692.228.191.443.067,00","0,00"
"434.822.560.281.741.000,00","1.000.000.000.000.000.000,00"
"62.468.892.610.243.500,00","0,00"
"-13.239.339.876.514.300,00","0,00"
"115.056.021.827.734.000,00","0,00"
"-53.189.995.888.983.900,00","0,00"
"102.162.413.166.683.000,00","0,00"
"-122.936.859.189.955.000,00","0,00"
"357.118.015.767.331.000,00","1.000.000.000.000.000.000,00"
"-1.014.379.893.383.370,00","0,00"
"527.485.880.559.468.000,00","1.000.000.000.000.000.000,00"
"-3.793.170.614.475.930,00","0,00"
"-47.643.307.694.271.300,00","0,00"
"-134.620.242.185.625.000,00","0,00"
"-11.572.111.464.120.500,00","0,00"
"-12.751.311.568.584.900,00","0,00"
"771.252.099.933.374.000,00","1.000.000.000.000.000.000,00"
"45.136.758.443.945.800,00","0,00"
"-89.756.248.906.543.300,00","0,00"
"-142.220.098.880.972.000,00","0,00"
"95.078.603.472.389.200,00","0,00"
"-130.124.412.766.514.000,00","0,00"
"604.117.214.450.753.000,00","1.000.000.000.000.000.000,00"
"737.014.505.509.412.000,00","1.000.000.000.000.000.000,00"
"-133.162.096.147.495.000,00","0,00"
"143.533.932.391.699.000,00","0,00"
"580.069.389.182.950.000,00","1.000.000.000.000.000.000,00"
"-70.017.814.660.800.700,00","0,00"
"6.151.279.779.419.710,00","0,00"
"73.135.151.789.201.900,00","0,00"
"-139.592.281.769.557.000,00","0,00"
"-6.774.988.055.836.130,00","0,00"
"524.793.714.660.776.000,00","1.000.000.000.000.000.000,00"
"9.540.205.464.415.070,00","0,00"
"544.707.153.168.761.000,00","1.000.000.000.000.000.000,00"
"-112.447.938.840.394.000,00","0,00"
"626.043.908.777.464.000,00","1.000.000.000.000.000.000,00"
"-36.110.443.505.879.900,00","0,00"
"-92.170.782.856.491.200,00","0,00"
"179.971.662.113.111.000,00","0,00"
"-264.626.193.462.557.000,00","0,00"
"455.245.323.014.321.000,00","1.000.000.000.000.000.000,00"
"14.188.876.155.526.600,00","1.000.000.000.000.000.000,00"
"-136.775.019.249.184.000,00","0,00"
"155.588.155.524.739.000,00","0,00"
"86.760.370.232.971.800,00","0,00"
"323.719.185.765.655.000,00","1.000.000.000.000.000.000,00"
"361.044.539.511.081.000,00","1.000.000.000.000.000.000,00"
"589.391.292.596.100.000,00","1.000.000.000.000.000.000,00"
"889.599.499.752.345.000,00","1.000.000.000.000.000.000,00"
"-28.132.146.026.092.000,00","0,00"
"-95.516.559.139.495.200,00","0,00"
"-18.385.238.186.765.200,00","0,00"
"-29.829.952.018.954.700,00","0,00"
"135.841.906.773.829.000,00","1.000.000.000.000.000.000,00"
"-7.260.975.893.086.660,00","0,00"
"93.211.331.091.310.000,00","0,00"
"-15.663.784.423.573.900,00","0,00"
"-69.157.403.996.666.900,00","0,00"
"658.701.975.167.702.000,00","1.000.000.000.000.000.000,00"
"-50.046.899.007.263.200,00","0,00"
"335.638.097.393.029.000,00","1.000.000.000.000.000.000,00"
"175.891.686.486.624.000,00","0,00"
"-177.560.426.933.314.000,00","0,00"
"879.509.185.505.396.000,00","1.000.000.000.000.000.000,00"
"506.789.804.996.333.000,00","1.000.000.000.000.000.000,00"
"342.819.381.957.661.000,00","1.000.000.000.000.000.000,00"
"-92.501.476.293.839.800,00","0,00"
"-70.723.808.477.963.000,00","0,00"
"168.173.631.210.169.000,00","0,00"
"70.040.583.597.878.900,00","0,00"
"-57.892.217.175.444.100,00","0,00"
"20.113.989.763.384.200,00","0,00"
"125.466.811.901.611.000,00","0,00"
"406.252.496.362.371.000,00","1.000.000.000.000.000.000,00"
"157.573.321.989.413.000,00","0,00"
"832.530.490.803.053.000,00","1.000.000.000.000.000.000,00"
"179.320.939.795.857.000,00","0,00"
"26.099.026.529.572.900,00","0,00"
"357.735.642.251.127.000,00","1.000.000.000.000.000.000,00"
"30.767.578.385.723.100,00","0,00"
"-92.511.106.884.534.200,00","0,00"
"99.646.016.055.843.800,00","0,00"
"115.445.343.447.041.000,00","0,00"
"-231.564.599.444.130.000,00","0,00"
"-43.458.201.205.380.900,00","0,00"
"169.084.152.603.531.000,00","1.000.000.000.000.000.000,00"
"480.896.449.703.996.000,00","1.000.000.000.000.000.000,00"
"68.402.406.701.865.300,00","0,00"
"-136.293.493.305.027.000,00","0,00"
"157.528.072.216.059.000,00","0,00"
"113.300.576.253.712.000,00","0,00"
"-180.950.118.102.662.000,00","0,00"
"-37.252.707.704.228.600,00","0,00"
"147.875.784.708.283.000,00","0,00"
"580.573.063.922.947.000,00","1.000.000.000.000.000.000,00"
"-135.270.149.384.052.000,00","0,00"
"-28.641.142.275.490.000,00","0,00"
"183.044.828.547.930.000,00","0,00"
"451.212.788.233.527.000,00","1.000.000.000.000.000.000,00"
"470.309.275.082.569.000,00","1.000.000.000.000.000.000,00"
"427.006.498.127.065.000,00","1.000.000.000.000.000.000,00"
"-48.769.761.068.036.600,00","0,00"
"-24.459.028.890.182.900,00","0,00"
"413.468.092.121.941.000,00","1.000.000.000.000.000.000,00"
"266.184.231.308.524.000,00","1.000.000.000.000.000.000,00"
"732.437.717.720.539.000,00","1.000.000.000.000.000.000,00"
"399.390.298.065.105.000,00","1.000.000.000.000.000.000,00"
"124.218.791.501.166.000,00","0,00"
"712.976.144.317.713.000,00","1.000.000.000.000.000.000,00"
"705.810.695.531.607.000,00","1.000.000.000.000.000.000,00"
"20.179.626.967.419.800,00","0,00"
"533.028.761.152.299.000,00","1.000.000.000.000.000.000,00"
"623.121.415.106.301.000,00","1.000.000.000.000.000.000,00"
"388.719.433.168.558.000,00","1.000.000.000.000.000.000,00"
"91.121.604.294.988.200,00","0,00"
"344.844.835.069.475.000,00","1.000.000.000.000.000.000,00"
"203.804.500.871.043.000,00","1.000.000.000.000.000.000,00"
"-36.426.740.700.144.000,00","0,00"
"-22.780.424.214.390.600,00","0,00"
"31.759.552.044.473.100,00","0,00"
"-13.463.082.455.614.700,00","0,00"
"-30.737.005.745.427.200,00","0,00"
"63.672.929.416.305.200,00","0,00"
"-36.804.079.902.396.300,00","0,00"
"-102.793.997.883.057.000,00","0,00"
"79.677.997.934.224.900,00","0,00"
"-39.208.295.837.316.000,00","0,00"
"-19.866.231.250.986.100,00","0,00"
"265.917.564.790.048.000,00","0,00"
"101.252.713.427.570.000,00","1.000.000.000.000.000.000,00"
"360.424.866.321.989.000,00","1.000.000.000.000.000.000,00"
"-38.611.779.504.782.800,00","0,00"
"434.204.357.018.452.000,00","1.000.000.000.000.000.000,00"
"639.525.214.984.218.000,00","1.000.000.000.000.000.000,00"
"-11.030.175.721.079.000,00","1.000.000.000.000.000.000,00"
"-55.464.968.757.040.500,00","0,00"
"142.832.863.823.147.000,00","0,00"
"-132.854.117.536.214.000,00","0,00"
"279.017.973.504.139.000,00","1.000.000.000.000.000.000,00"
"-56.720.015.260.083.300,00","0,00"
"73.696.397.307.922.900,00","0,00"
"94.885.484.530.188.900,00","0,00"
"-7.048.776.149.535.780,00","0,00"
"109.925.274.374.109.000,00","0,00"
"269.185.769.077.222.000,00","1.000.000.000.000.000.000,00"
"-82.910.443.907.973.400,00","0,00"
"285.056.606.027.746.000,00","1.000.000.000.000.000.000,00"
